step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
61,,,,,0.0001272857771255076,0.049354758113622665,0.0012975118588656187,0.0012975118588656187,,,,
62,,,,,0.00011915450158994645,0.046116556972265244,0.001212491188198328,0.001212491188198328,,,,
63,,,,,0.00012671403237618506,0.047638632357120514,0.0012543228222057223,0.0012543228222057223,,,,
64,,,,,0.00011833633470814675,0.04512328281998634,0.0011872501345351338,0.0011872501345351338,,,,
65,,,,,0.00011640575394267216,0.04346331208944321,0.0011447856668382883,0.0011447856668382883,,,,
66,,,,,0.00011030480527551845,0.04191650077700615,0.0011030648602172732,0.0011030648602172732,,,,
67,,,,,0.0001101931557059288,0.041928812861442566,0.0011033170158043504,0.0011033170158043504,,,,
68,,,,,0.00011090915359091014,0.04219663515686989,0.0011103705037385225,0.0011103705037385225,,,,
69,,,,,0.00011225470370845869,0.040246378630399704,0.0010622869012877345,0.0010622869012877345,,,,
70,7.479956548195332e-05,0.04433806985616684,0.001145851332694292,0.001145851332694292,0.00010608310549287125,0.04006030037999153,0.0010545491240918636,0.0010545491240918636,98.7169842170124,98.91891891891893,2.7690656507337414,2.684183825476695
71,,,,,0.00010655223741196096,0.039150312542915344,0.0010320339351892471,0.0010320339351892471,,,,
72,,,,,9.625504753785208e-05,0.03639129549264908,0.0009579099714756012,0.0009579099714756012,,,,
73,,,,,0.00010280974674969912,0.0382843017578125,0.0010085124522447586,0.0010085124522447586,,,,
74,,,,,0.0001005561716738157,0.038254644721746445,0.00100664421916008,0.00100664421916008,,,,
75,,,,,9.842391591519117e-05,0.037961483001708984,0.0009982491610571742,0.0009982491610571742,,,,
76,,,,,9.959065937437117e-05,0.036916181445121765,0.0009726998978294432,0.0009726998978294432,,,,
77,,,,,9.785603469936177e-05,0.036289118230342865,0.0009561559418216348,0.0009561559418216348,,,,
78,,,,,9.680528455646709e-05,0.037152647972106934,0.0009772188495844603,0.0009772188495844603,,,,
79,,,,,8.959009574027732e-05,0.033465489745140076,0.0008814323809929192,0.0008814323809929192,,,,
80,7.630624895682558e-05,0.049251265823841095,0.0012694348115473986,0.0012694348115473986,8.758069452596828e-05,0.033544059842824936,0.0008823918760754168,0.0008823918760754168,98.53584277346653,98.91891891891893,2.9495940337309965,2.9495940337309965
81,,,,,8.959655679063872e-05,0.034026551991701126,0.0008954620570875704,0.0008954620570875704,,,,
82,,,,,9.672343730926514e-05,0.03567873314023018,0.0009403300937265158,0.0009403300937265158,,,,
83,,,,,9.345237776869908e-05,0.0344364307820797,0.0009076370042748749,0.0009076370042748749,,,,
