Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240130_ic231221c-240130-122929,ic231221c,SOM-ChR2-20Hz,4711,15894,1/30/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240130_ic231221e-240130-135040,ic231221e,SOM-ChR2-20Hz,3070,14253,1/30/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240130_ic231222a-240130-150423,ic231222a,SOM-ChR2-20Hz,3029,14212,1/30/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240130_ic231222c-240130-154036,ic231222c,SOM-ChR2-20Hz,3034,14217,1/30/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240225_ic240108e-240225-153851,ic240108e,SOM-ChR2-20Hz,3410,14593,2/25/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240225_ic240108h-240225-172822,ic240108h,SOM-ChR2-20Hz,3254,14437,2/25/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240225_ic240108i-240225-180129,ic240108i,SOM-ChR2-20Hz,3270,14453,2/25/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-240229_ic240108g-240229-174653,ic240108g,SOM-ChR2-20Hz,3599,14782,2/29/2024,3.5,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-241009_ic240827a-241009-093428,ic240827a,SOM-ChR2-20Hz,3178,14361,10/9/2024,4,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-241009_ic240827b-241009-100948,ic240827b,SOM-ChR2-20Hz,3754,14937,10/9/2024,4,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-241009_ic240827c-241009-104251,ic240827c,SOM-ChR2-20Hz,3474,14657,10/9/2024,4,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-241009_ic240827d-241009-111734,ic240827d,SOM-ChR2-20Hz,3044,14227,10/9/2024,4,,,,,,,,,,,,,,,,,,
IC_OptoOnly_20Hz-241009_ic240827e-241009-132148,ic240827e,SOM-ChR2-20Hz,3107,14290,10/9/2024,4,,,,,,,,,,,,,,,,,,
