,File name,Latency,0 amplitude,1 amplitude,2 amplitude,3 amplitude,4 amplitude,0 normalized amplitude,1 normalized amplitude,2 normalized amplitude,3 normalized amplitude,4 normalized amplitude,0 success rate,1 success rate,2 success rate,3 success rate,4 success rate,Train tau,Train charge
0,22n16037.abf,8.2,43.60676981608073,4.796223958333336,7.671468037923184,6.87776631673178,2.805419921875,1.0,0.10998805870194604,0.1759237859231252,0.15772244414663084,0.06433450433745391,1.0,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.2,680.7858252733234,50.28879697143555
1,22n16064.abf,6.4,167.58975223795574,9.912923177083343,26.152506510416657,43.912597656249986,26.430989583333314,1.0,0.05914993634579921,0.1560507498888326,0.26202436049848554,0.15771244500561546,1.0,0.6666666666666666,0.7333333333333333,0.8,0.7333333333333333,341.3438298299552,81.24341179016113
2,22n17036.abf,5.7,63.120686848958336,0.7942708333333357,5.665608723958329,2.39013671875,1.1640625,1.0,0.012583368036440234,0.08975835034107882,0.03786613926539432,0.018441854138651695,1.0,0.13333333333333333,0.2,0.06666666666666667,0.0,452.1509423453957,27.967113018188474
3,23619009.abf,6.4,137.01781514485677,3.1839987386067747,16.74177675374348,21.148109273274756,21.658933512369785,1.0,0.02323784491265326,0.12218686114680698,0.15434569038279247,0.15807384966306548,1.0,0.3333333333333333,0.5333333333333333,0.4,0.6,253.40696088077038,46.98277961634319
4,23619022.abf,8.1,155.94302943929037,96.44912931315106,62.8117584228516,55.64248982747395,51.276922770182296,1.0,0.618489519281138,0.40278657307542315,0.3568129337203618,0.32881830598362677,1.0,1.0,1.0,1.0,1.0,318.85343909245086,115.35983238769529
5,23619049.abf,5.5,274.9261728922526,125.3188326619466,107.71319285074873,96.21400040690105,91.44658357747403,1.0,0.4558272184258746,0.3917895183190253,0.349963044241003,0.3326223277160055,1.0,1.0,1.0,1.0,1.0,325.5164803665978,205.96991555185957
6,23619062.abf,7.7,107.78644642130533,18.418457458496093,10.812581380208329,19.02490234375,13.128012369791676,1.0,0.17087916032136166,0.10031485162749634,0.17650551600325784,0.12179650415858558,1.0,0.6666666666666666,0.4,0.6,0.5333333333333333,3949.7941673219984,72.22731407246907
7,23619079.abf,8.5,37.21769178263346,10.101725260416668,10.08894856770834,6.409830729166664,6.704915364583336,1.0,0.2714226696114008,0.2710793733967148,0.17222536976776254,0.18015398170694688,0.8666666666666667,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.2,223.1973724398485,13.020210490163166
8,23619103.abf,7.7,107.02750040690104,58.36108805338543,29.756266988118455,22.682288655598967,19.928382751464824,1.0,0.5452905826213461,0.27802449720856787,0.21192953744939028,0.18619871225339632,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,329.67265155726597,78.2185179399109
9,23718017.abf,7.6,81.1568135579427,16.43863618977865,5.897783711751302,5.054685892740892,7.6446917114257715,1.0,0.20255398738692623,0.07267145484390564,0.06228295162342777,0.09419654833993414,1.0,0.6,0.2,0.26666666666666666,0.3333333333333333,303.7927096067962,31.778735679117837
10,23718036.abf,5.6,185.87311358642577,-2.665526489257786,-0.09000549316405682,5.328286743164057,9.023029459635396,1.0,-0.014340570499016207,-0.0004842308359041223,0.028666258612419237,0.04854402708135591,1.0,0.06666666666666667,0.06666666666666667,0.2,0.3333333333333333,393.64030664280233,61.42331096394857
11,23718059.abf,7.6,39.71247965494792,81.37791644287108,71.6385036010742,60.6000956217448,38.4672841389974,1.0,2.0491774160149157,1.8039292490301222,1.5259710838578777,0.968644730151083,0.8666666666666667,1.0,1.0,0.9333333333333333,0.8666666666666667,297.90170503786345,72.56674771494548
12,23718076.abf,7.0,50.43879801432292,21.660723042805984,28.321530273437496,34.36368509928385,33.58829282633466,1.0,0.42944566277441953,0.561502878506247,0.6812946868703279,0.6659217536626609,0.8,0.6,0.6666666666666666,0.8,0.6,267.38283128957875,34.7269711589559
13,23722014.abf,7.9,150.43097737630208,75.89346832275389,59.10588073730466,77.12948303222657,60.50985479736329,1.0,0.5045069150412211,0.3929103019084407,0.5127234056273375,0.4022433135297545,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,351.57912015942867,134.37727982106526
14,23722028.abf,9.0,52.365309651692705,45.441726216634116,36.121090657552074,40.5157049967448,22.95043728637694,1.0,0.8677830135807325,0.6897904528362597,0.773712697704541,0.4382755957910213,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.8666666666666667,322.34510174601223,56.44766265233358
15,23722043.abf,8.2,26.171305338541668,13.2499989827474,13.704994588216145,10.847817993164064,15.404132080078128,1.0,0.5062796376164905,0.5236649227439651,0.4144928138983125,0.5885886042295697,0.7333333333333333,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,650.923575976515,43.36054993631998
16,23722055.abf,8.5,25.718261210123696,2.4744466145833357,2.599446614583332,6.519938151041668,5.155680338541668,1.0,0.09621360458106314,0.10107396426785221,0.25351395639745544,0.20046768700335751,0.7333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,325.8310348345252,8.733212399546305
17,23722074.abf,6.5,90.10839428710938,31.2487767537435,27.913653930664054,18.43513997395833,23.165119425455728,1.0,0.346790962162488,0.3097786188678905,0.20458848612060554,0.2570805928651384,1.0,0.8666666666666667,0.7333333333333333,0.6,0.8,291.8986884056738,44.52010572453817
