,File name,Latency,Amplitude,Rise time,Charge,Tau,CV,Evoke Rate
0,22n16008.abf,8.0,61.71916809082031,3.6,13.928546264648437,276.2011995995473,1.458871760359918,0.75
1,22n16033.abf,12.7,24.578001403808592,17.8,4.3562118411254875,265.2050265514405,0.732339131973959,0.5
2,22n16060.abf,10.9,22.554052080426896,6.1,4.601285513196673,274.9025059896147,0.7846392397191533,0.7
3,22n17022.abf,11.7,20.63134765625,9.8,5.246612207031251,393.7921991695429,1.0840992374849394,0.5
4,22n17032.abf,9.9,66.32315063476562,4.5,15.568720199115457,271.4088554703734,0.3854854588271969,0.65
5,23619001.abf,14.7,13.534563064575195,10.1,1.3378350149154663,188.33566029258762,0.84459966964859,0.4
6,23619042.abf,8.7,40.751872301101685,10.1,10.614777779889108,557.9316004744019,1.005181598693955,0.8
7,23619055.abf,11.8,40.47806618430398,3.7,10.422307888377796,361.4761969245585,0.9353962188377453,0.55
8,23619072.abf,10.7,16.482369014195033,7.5,1.6042861064365932,309.8645546323502,0.6228004461831967,0.7
9,23619092.abf,14.5,29.959559440612793,5.3,2.7535581744670865,99.78606651487783,0.9514345409801583,0.8
10,23619095.abf,10.2,25.33607244491577,9.5,4.801265525066852,236.8229985925136,1.747039151245527,0.8
11,23718010.abf,11.1,18.340551103864396,16.8,2.1824755071367536,119.77491309048746,0.7707249224358298,0.7
12,23718055.abf,10.6,20.014204545454547,6.5,1.7365179554332386,98.43536586993956,0.7263815012182461,0.55
13,23718072.abf,8.5,23.741055806477863,6.1,5.548947889455159,423.87068660306267,0.7762294644743336,0.631578947368421
14,23718089.abf,7.1,22.553055826822916,7.4,2.2455608208211264,1016.0112945937921,0.6339295316560692,0.75
15,23722024.abf,12.5,54.81330585479736,2.9,11.510091573429108,217.17943334832847,0.7602785748906461,0.8
16,23722051.abf,11.2,13.087155562180738,10.2,1.602860993047861,173.28295447321767,0.6618580531303432,0.65
17,23722070.abf,9.3,45.71711832682292,9.7,8.490521312967935,213.16272968930397,0.7969808654475445,0.75
