,File name,evokeRate1,evokeRate2,amp1,amp2,Pr2/Pr1,IPSCamp2/IPSCamp1,risetime1,latency1,Poisson,Binomial
0,24101004.abf,0.45,0.85,17.06054178873698,30.55354668112362,1.8888888888888888,1.790889589526075,14.8,12.1,1.6799857449234485,1.2554039785434392
1,24101007.abf,0.55,0.75,23.20101373845881,22.04654744466146,1.3636363636363635,0.9502406960828756,5.2,10.6,1.273144729395317,1.1138802621666248
2,24304008.abf,0.7,0.8,15.94743892124721,21.190335512161255,1.142857142857143,1.3287610391113516,5.5,9.6,1.1696760660372842,1.069449984658613
3,24304013.abf,0.4,0.5,16.466368675231934,9.781493377685546,1.25,0.5940285663832175,6.5,10.2,1.0855323590853792,1.0395346610995395
4,24304017.abf,0.75,0.6,32.415687561035156,35.95539855957031,0.7999999999999999,1.1091974677961178,8.0,11.1,0.8262050593046014,0.9188611699158105
5,24304021.abf,0.7,0.9,20.670950753348215,24.748402913411457,1.2857142857142858,1.1972551823434048,8.8,11.2,1.4874916695280431,1.1758774563682675
6,24304024.abf,0.631578947368421,0.631578947368421,16.6347230275472,30.226741790771484,1.0,1.8170871700548197,22.7,16.1,1.0,1.0
7,24304027.abf,0.3,0.6,10.8880615234375,16.498511632283527,2.0,1.5152845707905898,7.1,16.5,1.2844899080317094,1.1250903871458027
8,24413004.abf,0.7,0.9,25.677662440708705,17.79276106092665,1.2857142857142858,0.6929276020358639,7.9,10.5,1.4874916695280431,1.1758774563682675
9,24413011.abf,0.7,0.9,15.634586334228516,17.414549509684246,1.2857142857142858,1.1138477947164416,24.1,15.8,1.4874916695280431,1.1758774563682675
10,24413013.abf,0.45,0.5,80.55541144476996,57.129024505615234,1.1111111111111112,0.7091891591266191,3.0,17.4,1.0434825240249,1.0202172868758859
11,24413024.abf,0.42105263157894735,0.5789473684210527,20.626220226287842,28.754992398348723,1.3750000000000002,1.3940989712550858,16.1,14.3,1.1510315426103237,1.0679247972014678
12,24414002.abf,0.35,0.6,20.112477438790457,31.17787520090739,1.7142857142857144,1.5501757700309642,11.1,12.2,1.2407709474065491,1.1064471523948345
13,24414005.abf,0.65,0.45,10.284235147329477,12.306583828396267,0.6923076923076923,1.1966455115130206,7.8,11.6,0.822560616958947,0.9138664671795315
14,24414007.abf,0.55,0.55,12.474919059059836,18.39211065118963,1.0,1.4743270528743404,9.5,16.4,1.0,1.0
15,24414012.abf,0.65,0.7,35.32432673527644,34.097634996686665,1.0769230769230769,0.9652734573603423,7.9,12.9,1.0649182568979965,1.0283548369777178
16,24414014.abf,0.7,0.6,32.38507298060826,30.480340321858723,0.8571428571428572,0.9411848582249587,3.0,10.1,0.8878986718073599,0.948094773262858
17,24414027.abf,0.45,0.25,18.972572326660156,20.798825836181642,0.5555555555555556,1.0962575594957804,8.4,14.6,0.8661687546249409,0.9333312639674852
18,24414029.abf,0.5,0.45,12.29382095336914,18.25805452134874,0.9,1.4851407540911918,5.7,12.6,0.9583294180556279,0.9801833519820122
19,24414031.abf,0.35,0.45,24.720109122140066,16.60752953423394,1.2857142857142858,0.6718226627632377,17.2,10.7,1.0793936262348054,1.0370953088115975
20,24414038.abf,0.45,0.3,21.477591620551216,30.26285680135091,0.6666666666666666,1.4090433106286162,6.9,12.9,0.8949135219664954,0.9482537995864933
21,24414040.abf,0.35,0.3,21.424035208565847,17.96732457478841,0.8571428571428572,0.838652681433451,7.2,14.8,0.9659639516419767,0.9834295671139246
22,24414042.abf,0.65,0.7,20.768194638765774,14.108797073364258,1.0769230769230769,0.6793463427499312,9.0,9.3,1.0649182568979965,1.0283548369777178
23,24419002.abf,0.55,0.75,49.610145568847656,37.941402689615884,1.3636363636363635,0.7647911985455033,6.3,13.1,1.273144729395317,1.1138802621666248
24,24419007.abf,0.4,0.65,19.300243377685547,31.436490572415867,1.625,1.6288131686858385,4.7,11.3,1.2647062994687042,1.1149709560552892
25,24419009.abf,0.6,0.9,25.044972101847332,58.08139970567491,1.5,2.3190842245494374,12.2,11.3,1.6752943964880402,1.2402530733520423
26,24419015.abf,0.55,0.8,25.7566181529652,32.17560863494873,1.4545454545454546,1.249217131063635,10.4,9.8,1.3856955543941043,1.154508497187474
27,24419018.abf,0.35,0.6,18.318219866071427,20.50811703999837,1.7142857142857144,1.1195474882350889,15.0,10.7,1.2407709474065491,1.1064471523948345
28,24419021.abf,0.65,0.95,21.623646662785458,45.75394801089638,1.4615384615384615,2.1159219221630847,4.2,7.2,1.9524369964753525,1.3007511736913189
