,File name,Chloride reversal potential,Membrane potential
0,25d14006.abf,-28.61161930673451,-53.5115592817551
1,25d14011.abf,-61.59509568663196,-63.751530014949765
2,25d18015.abf,-83.07854548904686,-88.25111083171338
3,25d18021.abf,-82.18456480488346,-76.96055342496061
4,25d18026.abf,-31.96827844624164,-55.21347078152642
5,25d18032.abf,-77.91623640688042,-61.5339674317898
6,25d21004.abf,-32.59473602771509,-47.69824495536948
7,25d21018.abf,-87.86902961409756,-54.09573160957879
8,25d21027.abf,-41.21460869080959,-50.0
9,25n05020.abf,-62.65691190570255,-87.569604772936
10,25n05025.abf,-83.7236720174382,-53.75083341946846
11,25n05034.abf,-65.79998923107028,-50.12340804086876
12,26111005.abf,-60.14911140925107,-44.151165575795204
13,26111010.abf,-61.87720067811872,-68.24199511357685
14,26111017.abf,-88.66452179178454,-80.13307391252353
15,26112002.abf,-57.905400936463586,-55.31941694845327
16,26112006.abf,-22.86814432625484,-91.91365590018873
17,26112029.abf,-88.70129995379153,-83.3795867864467
18,26112037.abf,-92.50720129365803,-85.12563554324962
