,File name,preAP,optoAP,postAP,Max PSP,Steady-state PSP,Rebound PSP
0,24318010.abf,100.0,0.0,104.0,-53.62997817993164,-21.054637908935547,8.1229248046875
1,24318017.abf,100.0,1.0,108.0,-49.975860595703125,-24.808425903320312,-3.105621337890625
2,24318024.abf,100.0,2.0,99.0,-15.433753967285156,-5.843788146972656,-0.469146728515625
3,24321001.abf,100.0,1.0,120.0,-54.76725769042969,-42.85823059082031,-6.05731201171875
4,24321006.abf,100.0,1.0,111.0,-56.50562286376953,-35.14726257324219,-6.341278076171875
5,24321015.abf,100.0,1.0,98.0,-10.623085021972656,-5.9289093017578125,1.96417236328125
6,24321020.abf,100.0,0.0,108.0,-65.56642150878906,-34.68861389160156,2.136138916015625
7,24321024.abf,100.0,1.0,121.0,-47.447471618652344,-38.40904235839844,-4.512451171875
8,24321029.abf,100.0,23.0,99.0,-14.869972229003906,-6.71002197265625,0.4185943603515625
9,24321033.abf,100.0,1.0,50.0,-5.808624267578125,-5.251495361328125,-2.3566741943359375
10,24321038.abf,100.0,11.0,142.0,-45.63026428222656,-18.112716674804688,2.40631103515625
11,24321048.abf,100.0,1.0,99.0,-7.849540710449219,-5.7389678955078125,-0.48907470703125
12,24321052.abf,100.0,10.0,100.0,-13.561058044433594,-11.962326049804688,-1.296142578125
