,File name,Max PSP,Steady-state PSP
0,24318013.abf,-35.53924560546875,-12.143516540527344
1,24318020.abf,-27.84423828125,-15.11297607421875
2,24318025.abf,-15.134151458740234,-9.381420135498047
3,24321002.abf,-25.51983642578125,-21.527923583984375
4,24321012.abf,-25.026123046875,-20.32714080810547
5,24321018.abf,-4.2041015625,-3.0891799926757812
6,24321021.abf,-37.88164520263672,-26.979164123535156
7,24321025.abf,-20.04193115234375,-17.32146453857422
8,24321030.abf,-9.794864654541016,-7.727993011474609
9,24321034.abf,-5.89617919921875,-5.3976593017578125
10,24321039.abf,-40.634334564208984,-32.447750091552734
11,24321049.abf,-6.403694152832031,-5.497428894042969
12,24321053.abf,-11.81829833984375,-10.842567443847656
