File name,Effect
23911016,silent increase
23911022,silent increase
23911027,silent increase
23911039,active increase
23911044,silent increase
23911051,active increase
23911053,decrease
23911065,silent increase
23911068,silent increase
23911074,decrease
23916000,no change
23916006,silent increase
23916011,decrease
23916023,active increase
23916029,silent increase
23916050,active increase
23916055,silent increase
23919006,no change
23919011,silent increase
23919016,decrease
23919021,silent increase
23919028,no change
23919033,no change
23919045,silent increase
23919051,silent increase
23919052,silent increase
23919053,silent increase
23919054,decrease
23919060,silent increase
23919065,active increase
23921000,no change
23921005,silent increase
23921010,silent increase
23921015,silent increase
23921020,silent increase
23921025,decrease
23921038,decrease
23921053,no change
23o13000,silent increase
23o13005,no change
23o13012,active increase
23o13032,silent increase
23o13038,no change
23o13043,silent increase
23o13050,decrease
23o13055,decrease
23o16000,silent increase
23o16001,no change
23o16010,no change
23o16015,no change
23o16024,silent increase
23o16034,silent increase
23o19014,silent increase
23o19034,silent increase
23o19055,decrease
23o19060,active increase
23o19067,decrease
23o19078,no change
25419002,decrease
25419003,no change
25419005,no change
25419010,decrease
25424005,decrease
25424006,no change
25424013,no change
25424014,no change
25424015,no change
